;Дата;Время;Цена до;Цена после;Разница в долларах;Дельта в процентах;Текст новости
0;2022-10-21;15:21:15;118.610001;119.364998; 0.7; 0.6;"S&P 500 Rebounds From 2022 Lows This Week As Big Tech Earnings Loom Large
"
1;2022-10-21;15:05:00;118.610001;119.364998; 0.7; 0.6;"What's Going On With Amazon Shares
"
2;2022-10-21;13:55:58;117.800003;118.610001; 0.8; 0.6;"10 Consumer Discretionary Stocks Whale Activity In Today's Session
"
3;2022-10-21;13:53:36;117.800003;118.610001; 0.8; 0.6;"Amazon To $175? Plus JP Morgan Cuts Price Target On Meta Platforms
"
4;2022-10-20;14:20:03;116.440002;115.209999;-1.2;-1.0;"Are All Streaming Services Losing Money? Netflix Seems To Think So
"
5;2022-10-20;13:41:18;116.440002;115.209999;-1.2;-1.0;"10 Consumer Discretionary Stocks Whale Activity In Today's Session
"
6;2022-10-19;13:36:34;114.089996;114.958298; 0.8; 0.7;"10 Consumer Discretionary Stocks With Whale Alerts In Today's Session
"
7;2022-10-19;11:58:49;115.349998;114.821198;-0.5;-0.4;"Amazon Analyst Sees Upside Fueled By Ad Spend Growth In July, October Prime Day Events
"
8;2022-10-19;11:01:33;116.339996;115.349998;-0.9;-0.8;"Your Uber Rides May Get Intrusive With Ads, But Uber Wants To Make More Money And Subsidize Trip Costs
"
9;2022-10-19;10:31:12;116.339996;115.349998;-0.9;-0.8;"$100 Invested In This Stock 5 Years Ago Would Be Worth $200 Today
"
10;2022-10-18;15:14:44;116.790001;115.890099;-0.8;-0.7;"Warner Bros. Discovery Analyst Slashes 3Q Estimates Citing FX Headwinds, Tougher Comps
"
11;2022-10-18;14:42:53;116.790001;115.890099;-0.8;-0.7;"Credit Suisse Hopes On Colgate-Palmolive's Underlying Strength Despite FX Risk
"
12;2022-10-18;13:37:55;116.440002;116.790001; 0.3; 0.3;"10 Consumer Discretionary Stocks With Whale Alerts In Today's Session
"
13;2022-10-18;11:59:56;115.129997;116.232300; 1.1; 0.9;"Walmart Goes Alibaba and Amazon Way To Boost Sales
"
14;2022-10-17;13:43:16;113.050003;113.800003; 0.7; 0.6;"10 Consumer Discretionary Stocks Whale Activity In Today's Session
"
15;2022-10-17;13:36:32;113.050003;113.800003; 0.7; 0.6;"Check Out What Whales Are Doing With AMZN
"
16;2022-10-17;11:43:37;112.940002;112.870003;-0.0;-0.0;"Why Amazon Shares Are Rising
"
17;2022-10-14;15:13:25;107.885002;107.419998;-0.4;-0.4;"Nasdaq 100 Got You Bearish? The SQQQ Inverse ETF Is Showing Signs Of Strength
"
18;2022-10-14;13:42:51;108.669998;107.885002;-0.7;-0.7;"10 Consumer Discretionary Stocks Whale Activity In Today's Session
"
19;2022-10-14;12:22:10;110.570000;109.169998;-1.4;-1.2;"Why Amazon Shares Are Falling
"
20;2022-10-14;12:05:58;110.570000;109.169998;-1.4;-1.2;"Amazon Prime Early Access Day Volume Drops 25%, But This Analyst Keeps The Faith: Here's Why
"
21;2022-10-13;15:09:27;111.330002;112.540001; 1.2; 1.0;"Amazon.com Whale Trades Spotted
"
22;2022-10-13;14:59:35;111.330002;112.540001; 1.2; 1.0;"10 Consumer Discretionary Stocks With Whale Alerts In Today's Session
"
23;2022-10-12;13:45:08;113.019997;113.669998; 0.6; 0.5;"10 Consumer Discretionary Stocks With Whale Alerts In Today's Session
"
24;2022-07-28;14:31:06;121.910004;121.970001; 0.0; 0.0;"Jeff Bezos Says Inflation 'Most Hurts The Least Affluent' Which May Be Why These Assets Are Performing Better Than Ever
"
25;2022-10-11;15:10:27;113.930000;111.800003;-2.1;-1.8;"Executive Departure Not A Worry At Zscaler As Products 'Sizzle,' Analyst Says With 'Strong Buy' Rating On The Stock
"
26;2022-10-11;14:49:32;113.930000;111.800003;-2.1;-1.8;"10 Best Deals Available Now From Amazon, Target And More (And Just In Time for Prime Day Redux)
"
27;2022-10-11;13:44:48;114.770103;113.930000;-0.8;-0.7;"10 Consumer Discretionary Stocks Whale Activity In Today's Session
"
28;2022-10-11;10:55:15;111.870003;112.570000; 0.6; 0.6;"Blue Apron's Chef-Curated Meals Now Available Via US Amazon Store Without Subscription
"
29;2022-10-10;13:36:46;112.959999;113.699997; 0.7; 0.6;"10 Consumer Discretionary Stocks With Whale Alerts In Today's Session
"
30;2022-10-10;13:36:11;112.959999;113.699997; 0.7; 0.6;"Is The Rivian Recall Just A 'Speed Bump' For The Amazon-Backed EV Company?
"
31;2022-10-10;11:44:35;113.809998;113.089996;-0.7;-0.6;"What To Watch For On Amazon Stock As This Bearish Pattern Looks To Play Out
"
32;2022-10-07;13:57:47;114.220001;114.500000; 0.2; 0.2;"Disney Is a Living Proof of a Never-Ending Corporate Fairytale
"
33;2022-10-07;13:37:20;114.220001;114.500000; 0.2; 0.2;"10 Consumer Discretionary Stocks Whale Activity In Today's Session
"
34;2022-10-07;12:11:45;115.709999;114.860001;-0.8;-0.7;"Why Amazon Shares Are Falling
"
35;2022-10-07;10:35:37;116.330002;115.709999;-0.6;-0.5;"Cross-Border E-commerce Trader Zibuyu Files for IPO Despite Sinking Profits
"
36;2022-10-06;14:32:15;120.580002;120.746201; 0.1; 0.1;"Mizuho Analyst Remains Bullish On The EV Sector; Finds Rivian Better Positioned
"
37;2022-10-06;10:52:28;119.680000;121.050003; 1.3; 1.1;"Volvo To Supply 20 Electric Trucks To Amazon
"
38;2022-10-05;13:55:36;120.415001;120.469902; 0.0; 0.0;"10 Consumer Discretionary Stocks Whale Activity In Today's Session
"
39;2022-10-05;13:17:16;119.510002;120.415001; 0.9; 0.7;"This Hedge Fund Scored Big Off Amazon's Whole Foods Deal: Check Out Its 2 Dividend Stocks
"
40;2022-10-05;11:59:23;118.735001;119.510002; 0.7; 0.6;"Amazon Invests $150M In Venture Funds To Boost Entrepreneurs From Minority Backgrounds
"
41;2022-10-05;11:30:01;118.735001;119.510002; 0.7; 0.6;"Amazon.com Whale Trades For October 05
"
42;2022-10-05;10:51:19;118.150002;118.735001; 0.5; 0.4;"Google Expands African Cloud Presence Under Its $1B Plan
"
43;2022-10-04;15:17:45;120.910004;120.875000;-0.0;-0.0;"2 Dividend Stocks A Prolific Trader, Lawmaker Not Named Nancy Pelosi Just Bought
"
44;2022-10-04;14:29:11;120.959999;120.910004;-0.0;-0.0;"EXCLUSIVE: Top 10 Stocks Searched On Benzinga Pro In September: Where Do Tesla, Apple, Bed Bath & Beyond Rank?
"
45;2022-10-04;13:36:32;120.959999;120.910004;-0.0;-0.0;"10 Consumer Discretionary Stocks With Whale Alerts In Today's Session
"
