,Дата,Время,Цена до,Цена после,Разница в долларах,Дельта в процентах,Текст новости
0,2022-10-10,15:11:10,57.939999 ,57.830002 ,-0.1,-0.1,"AMD Analyst Slashes Price Target By 32% On Dismal Q3 Numbers
"
1,2022-10-10,13:36:40,57.619999 ,57.939999 , 0.3, 0.5,"10 Information Technology Stocks With Whale Alerts In Today's Session
"
2,2022-10-10,13:34:42,57.619999 ,57.939999 , 0.3, 0.5,"What's Going On With AMD Shares
"
3,2022-10-10,12:29:53,57.494301 ,57.180000 ,-0.3,-0.5,"Stocks That Hit 52-Week Lows On Monday
"
4,2022-10-10,11:36:07,57.494301 ,57.180000 ,-0.3,-0.5,"IDC Highlights Weak PC Market, Apple Being The Only Exception
"
5,2022-10-07,14:27:50,60.150002 ,59.189999 ,-0.9,-1.5,"Stocks That Hit 52-Week Lows On Friday
"
6,2022-10-07,14:16:56,60.150002 ,59.189999 ,-0.9,-1.5,"AMD Analysts Cut Price Targets After Chipmaker Lowers Guidance, But 'Long-Term Opportunity' Remains
"
7,2022-10-07,13:37:09,60.150002 ,59.189999 ,-0.9,-1.5,"10 Information Technology Stocks Whale Activity In Today's Session
"
8,2022-10-07,12:51:34,60.296700 ,60.150002 ,-0.1,-0.2,"Why Taiwan Semiconductor Manufacturing Shares Are Falling After AMD News
"
9,2022-10-07,12:27:07,61.035000 ,60.296700 ,-0.7,-1.2,"Why Aehr Test Systems Shares Are Trading Higher By Over 19%, Here Are 51 Stocks Moving In Friday's Mid-Day Session
"
10,2022-10-07,12:22:01,61.035000 ,60.296700 ,-0.7,-1.2,"Why Apple Shares Are Falling
"
11,2022-10-07,12:02:56,61.035000 ,60.296700 ,-0.7,-1.2,"Too Hot: Jobs Growth Near Estimates, But Still Too Strong for the Market's Liking
"
12,2022-10-07,11:09:00,62.240002 ,61.035000 ,-1.2,-1.9,"Levi Strauss, Tilray Brands And Some Other Big Stocks Moving Lower On Friday
"
13,2022-10-06,13:38:02,69.050003 ,68.330002 ,-0.7,-1.0,"10 Information Technology Stocks With Whale Alerts In Today's Session
"
14,2022-10-05,14:22:50,67.458298 ,67.480003 , 0.0, 0.0,"YMTC Ban Likely A Plus For Micron & Western Digital, While A Minus For AMD & NVIDIA, Analyst Says
"
15,2022-10-05,13:12:53,66.828796 ,67.458298 , 0.6, 0.9,"2 NASDAQ earning reports to watch in October
"
16,2022-10-05,10:33:25,64.661797 ,65.989403 , 1.3, 2.0,"Why AMD Shares Are Falling
"
