,Дата,Время,Цена до,Цена после,Разница в долларах,Дельта в процентах,Текст новости
0,2022-09-29,15:00:27,124.675903,124.540001,-0.1,-0.1,"Why Boeing Shares Are Getting Hammered
"
1,2022-09-28,14:30:52,133.009995,133.330002, 0.3, 0.2,"Morgan Stanley Bets On Boeing's Prospects Despite Market Pull-Back
"
2,2022-09-28,11:42:56,130.130005,130.570007, 0.4, 0.3,"Looking At Boeing's Recent Whale Trades
"
3,2022-09-26,14:05:53,127.320000,126.980003,-0.3,-0.2,"9 Industrials Stocks With Whale Alerts In Today's Session
"
4,2022-09-23,11:38:28,131.759995,130.229996,-1.5,-1.1,"Costco Down After Earnings as Analysts Fret About Company Facing Higher Costs
"
5,2022-09-20,14:45:31,145.750000,146.130005, 0.3, 0.2,"Boeing Whale Trades For September 20
"
6,2022-09-15,13:53:33,152.449997,152.179993,-0.2,-0.1,"Boeing Whale Trades Spotted
"
7,2022-09-09,13:12:21,157.410004,158.100006, 0.6, 0.4,"Looking At Boeing's Recent Whale Trades
"
8,2022-09-07,13:54:11,153.759995,154.779999, 1.0, 0.6,"Expert Ratings for Boeing
"
9,2022-09-06,11:36:13,152.419998,152.240005,-0.1,-0.1,"Check Out What Whales Are Doing With Boeing
"
10,2022-09-02,10:50:23,155.794998,156.281403, 0.4, 0.3,"This Is What Whales Are Betting On Boeing
"
11,2022-08-29,10:47:27,164.279999,164.529999, 0.2, 0.1,"Boeing Gets Order For Eight Additional 767s From UPS
"
12,2022-08-23,12:12:22,160.259995,159.547806,-0.7,-0.4,"Boeing Whale Trades For August 23
"
13,2022-08-19,14:02:32,163.210007,163.160004,-0.0,-0.0,"Devon Energy, Eli Lilly Are CNBC 'Fast Money' Mentions, With Kevin O'Leary Selling These 7 Stocks
"
14,2022-08-17,10:37:19,167.119995,166.869995,-0.2,-0.1,"Boeing Whale Trades For August 17
"
15,2022-08-11,12:11:41,169.130005,168.440002,-0.6,-0.4,"Atlas Air Extends Long-Standing Pact With This Australian Air Freight Carrier
"
16,2022-08-10,14:01:20,170.399002,169.710007,-0.6,-0.4,"Boeing And Marriot Get CNBC Fast Money Mentions With Karen Firestone Buying These 6 Stocks
"
17,2022-08-04,14:14:01,167.970001,167.330002,-0.6,-0.3,"Looking At Boeing's Recent Whale Trades
"
18,2022-08-02,11:15:50,164.160004,165.800095, 1.6, 0.9,"10 Highest Yielding Dow Jones Stocks: Which Stocks Pay Out 3.2% To 5.5% To Investors?
"
19,2022-08-01,13:59:11,168.706894,169.869995, 1.1, 0.6,"Is SPDR S&P Aerospace & Defense ETF (XAR) A Strong ETF Right Now?
"
20,2022-08-01,13:37:06,168.706894,169.869995, 1.1, 0.6,"10 Industrials Stocks With Whale Alerts In Today's Session
"
21,2022-08-01,12:49:43,170.899994,168.706894,-2.1,-1.2,"This Biotechnology Stock Is Trading Lower By 77%, Here Are 62 Stocks Moving In Monday's Mid-Day Session
"
22,2022-08-01,11:05:14,168.850006,170.679993, 1.8, 1.0,"Boeing Whale Trades For August 01
"
23,2022-07-28,11:42:45,159.830002,158.369904,-1.4,-0.9,"Boeing's Return On Capital Employed Insights
"
24,2022-07-27,12:38:08,155.500000,154.649994,-0.8,-0.5,"Nasdaq Jumps Over 300 Points; Boeing Posts Wider-Than-Expected Loss
"
25,2022-07-27,10:51:21,158.770004,154.850006,-3.9,-2.4,"Natural Gas Volatility Continues As Russia And EU Battle Over Energy
"
26,2022-07-26,11:07:17,155.982407,156.115707, 0.1, 0.0,"Consumers Change Shopping Habits as Inflation Worsens
"
27,2022-07-26,10:52:28,155.982407,156.115707, 0.1, 0.0,"Tuesday's Market Minute: Tech Heavyweight Earnings On Deck: GOOGL, MSFT, META, AMZN, AAPL
"
