,Дата,Время,Цена до,Цена после,Разница в долларах,Дельта в процентах,Текст новости
0,2022-10-17,14:32:40,398.445007,399.320007, 0.8, 0.2,"What Are Whales Doing With Lockheed Martin
"
1,2022-10-17,11:25:46,398.750000,398.350006,-0.3,-0.1,"Solid Start: Week Begins in the Green After Bank of America Earnings Impress, Yields Fall
"
2,2022-10-17,11:15:59,398.750000,398.350006,-0.3,-0.1,"Friday Retreat: After Wild Thursday Rally, Market Stumbles into Weekend as Inflation Fears Grow
"
3,2022-10-14,11:50:06,393.195007,391.040009,-2.1,-0.5,"Will Chart Analysts Notice Bad Omen on Lockheed Martin's Chart
"
4,2022-10-13,14:59:49,403.839996,404.720001, 0.8, 0.2,"9 Industrials Stocks Whale Activity In Today's Session
"
5,2022-10-12,12:47:18,403.709991,403.309998,-0.3,-0.0,"Credit Suisse Picks 7 Aerospace, Defense Stocks To Buy вЂ” And 4 To Avoi
"
6,2022-10-04,15:17:45,401.769989,403.959991, 2.1, 0.5,"2 Dividend Stocks A Prolific Trader, Lawmaker Not Named Nancy Pelosi Just Bought
"
7,2022-10-04,13:21:27,403.795013,402.660004,-1.1,-0.2,"$1000 Invested In Lockheed Martin 10 Years Ago Would Be Worth This Much Today
"
8,2022-10-03,15:19:39,401.160004,401.049988,-0.1,-0.0,"Peering Into Lockheed Martin's Recent Short Interest
"
9,2022-09-27,15:01:44,401.244293,399.869995,-1.3,-0.3,"Check Out What Whales Are Doing With LMT
"
10,2022-09-21,12:18:09,429.220001,431.029999, 1.8, 0.4,"Looking At Lockheed Martin's Recent Whale Trades
"
11,2022-09-21,11:23:06,431.390015,429.220001,-2.1,-0.5,"Is Putin Bluffing? How Stocks Are Reacting On Heels Of Thinly-Veiled Nuke Threats
"
12,2022-09-21,10:58:54,431.390015,429.220001,-2.1,-0.5,"Why Are Defense Stocks Rising Following Putin's Speech? 'Nuclear Blackmail'
"
13,2022-09-15,12:10:41,413.269989,411.269989,-2.0,-0.4,"Peering Into Lockheed Martin's Recent Short Interest
"
14,2022-09-01,13:36:03,423.510010,422.625000,-0.8,-0.2,"10 Industrials Stocks With Whale Alerts In Today's Session
"
15,2022-08-30,14:59:34,425.890015,425.910004, 0.0, 0.0,"Lockheed Martin Lags Defense Peers On Slower Top-Line Growth Outlook & Lack Of Catalysts, Says This Analyst
"
16,2022-08-22,13:38:56,436.200012,435.600006,-0.6,-0.1,"10 Industrials Stocks With Whale Alerts In Today's Session
"
17,2022-08-16,12:35:04,441.674988,442.260010, 0.5, 0.1,"These 3 High-Yielding Defense Stocks Will Protect Your Portfolio As Geopolitical Tensions Worsen
"
18,2022-08-11,14:02:34,430.869995,429.100006,-1.7,-0.4,"Target, Lowe's Get CNBC Fast Money Mentions; Here Are The Stocks Steve Weiss Is Buying
"
19,2022-08-11,13:01:09,431.265015,430.869995,-0.3,-0.0,"Analyzing Lockheed Martin's Short Interest
"
20,2022-08-09,12:20:07,430.679993,430.609985,-0.0,-0.0,"Check Out What Whales Are Doing With Lockheed Martin
"
21,2022-07-21,12:03:46,394.179993,392.994995,-1.1,-0.3,"A Republican Senator On The Missile Defense Committee Just Sold Lockheed Stock Worth Up To $100K
"
22,2022-07-20,14:22:24,397.299988,395.775604,-1.5,-0.3,"Wells Fargo Cuts Lockheed Martin Price Target By ~18%
"
23,2022-07-20,10:32:21,393.769989,392.730011,-1.0,-0.2,"Apple Stock To Jump 20%? Plus This Analyst's Amazon Stock Price Forecast
"
24,2022-07-20,14:13:31,397.299988,395.775604,-1.5,-0.3,"Goodyear Joins Lockheed Martin To Commercialize Lunar Mobility Vehicle
"
25,2022-07-20,12:07:03,392.730011,396.035004, 3.3, 0.8,"Analyzing Lockheed Martin's Short Interest
"
26,2022-07-19,13:03:24,385.269989,384.730011,-0.5,-0.1,"Check Out What Whales Are Doing With LMT
"
27,2022-07-19,10:30:07,386.720001,388.040009, 1.3, 0.3,"Apple Upstages Goldman Sachs On Monday, Bringing Rally To A Screeching Halt
"
28,2022-07-18,14:14:36,396.000000,392.000000,-4.0,-1.0,"This Is What Whales Are Betting On Lockheed Martin
"
29,2022-07-18,10:42:26,393.920013,393.459991,-0.4,-0.1,"Bank Of America And Goldman Sachs Split On Earnings Reports, Possibly Putting Bank Rally In Jeopardy
"
30,2022-07-15,10:57:25,400.359985,400.785004, 0.4, 0.1,"Another Way To Understand Market Momentum
"
31,2022-07-13,11:20:51,412.029999,412.654999, 0.6, 0.1,"The Fed's Pickle: Whether to Raise Rates to Fight Inflation While Increasing Recession Chances
"
32,2022-07-12,13:25:58,416.010010,417.125000, 1.1, 0.2,"Analysis: Can The Webb Telescope Photos Inspire A Space Industry Boom During A Recession?
"
33,2022-07-12,11:55:52,417.829987,416.010010,-1.8,-0.4,"A Strong Dollar And Looming CPI Report Appear To Be Unsettling Investors
"
