,Дата,Время,Цена до,Цена после,Разница в долларах,Дельта в процентах,Текст новости
0,2022-10-07,12:03:37,121.550003,121.025002,-0.5,-0.4,"Looking At Moderna's Recent Whale Trades
"
1,2022-10-03,15:19:54,121.100098,121.904999, 0.8, 0.6,"Check Out What Whales Are Doing With MRNA
"
2,2022-09-29,13:32:01,116.739998,116.034798,-0.7,-0.6,"Stocks That Hit 52-Week Lows On Thursday
"
3,2022-09-28,13:47:14,122.440002,122.250000,-0.1,-0.1,"This Is What Whales Are Betting On Moderna
"
4,2022-09-27,13:02:24,122.029999,122.050003, 0.0, 0.0,"Looking Into Moderna's Recent Short Interest
"
5,2022-09-23,10:49:21,124.019997,121.925003,-2.0,-1.6,"Pharma Giants Moderna And Novavax Trend Lower In This Pattern: What's Going On?
"
6,2022-09-20,13:37:58,130.244995,129.630005,-0.6,-0.4,"10 Health Care Stocks Whale Activity In Today's Session
"
7,2022-09-19,12:29:26,125.019997,123.820000,-1.1,-0.9,"Why Virios Therapeutics Is Trading Lower By Over 71%, Here Are 55 Stocks Moving In Monday's Mid-Day Session
"
8,2022-09-19,11:12:15,125.309998,125.019997,-0.2,-0.2,"Check Out What Whales Are Doing With MRNA
"
9,2022-09-19,11:03:22,125.309998,125.019997,-0.2,-0.2,"Why BioNTech, Moderna And Novavax Shares Are Diving
"
10,2022-09-15,11:24:04,136.809998,136.770004,-0.0,-0.0,"Check Out What Whales Are Doing With MRNA
"
11,2022-09-14,12:30:13,140.550003,139.179993,-1.3,-0.9,"Why Moderna Shares Are Rising Today
"
12,2022-09-14,12:15:31,139.565002,140.550003, 0.9, 0.7,"Argus Research Maintains Buy Rating for Moderna: Here's What You Need To Know
"
13,2022-09-13,13:36:16,132.690002,132.589996,-0.1,-0.0,"10 Health Care Stocks Whale Activity In Today's Session
"
14,2022-09-09,11:07:42,140.029999,140.410004, 0.3, 0.2,"Peering Into Moderna's Recent Short Interest
"
15,2022-09-08,13:06:57,138.330002,139.100006, 0.7, 0.5,"Check Out What Whales Are Doing With MRNA
"
16,2022-09-08,12:14:37,141.940002,138.330002,-3.6,-2.5,"What To Know About Deutsche Bank's Upgrade of Moderna
"
17,2022-09-08,10:56:34,139.669998,141.940002, 2.2, 1.6,"4 Analysts Have This to Say About Moderna
"
18,2022-09-06,12:09:41,135.139999,132.190002,-2.9,-2.1,"Sanofi-GSK COVID-19 Vaccine May See European Approval Soon: Report
"
19,2022-09-02,13:50:04,138.460007,138.070007,-0.3,-0.2,"White House May Ask For $25B Emergency Funding For COVID-19, Monkeypox
"
20,2022-09-01,13:29:55,133.250000,134.578705, 1.3, 0.9,"Europe Backs Approval Of Omicron-Adapted COVID-19 Vaccines
"
21,2022-08-31,13:51:57,132.490005,132.580002, 0.0, 0.0,"Why Novavax Shares Are Getting Hammered After Moderna, Pfizer And BioNTech News
"
22,2022-08-30,13:04:03,133.860001,133.225006,-0.6,-0.4,"This Is What Whales Are Betting On Moderna
"
23,2022-08-29,11:35:35,136.802994,138.350006, 1.5, 1.1,"Switzerland Approves First Next-Generation Bivalent COVID-19 Booster Vaccine
"
24,2022-08-26,13:36:48,138.615005,137.449997,-1.1,-0.8,"10 Health Care Stocks Whale Activity In Today's Session
"
25,2022-08-26,13:15:32,138.539993,138.615005, 0.0, 0.0,"Is Monkeypox Outbreak Cooling? Health Officials Says Virus Transmission Has Slowed
"
26,2022-08-23,15:28:56,142.789993,143.270004, 0.4, 0.3,"Moderna Plans US Application Submission For COVID-19 Omicron Adapted Booster 'Very Soon'
"
27,2022-08-23,11:33:03,141.485001,140.882507,-0.6,-0.4,"Moderna Whale Trades For August 23
"
28,2022-08-22,11:30:03,143.119995,143.887405, 0.7, 0.5,"Dr. Anthony Fauci, Face Of US COVID-19 Response, To Retire In December
"
29,2022-08-17,14:52:59,159.360001,158.289993,-1.0,-0.6,"Biden Administration To Stop Purchasing COVID-19 Solutions By End Of 2022
"
30,2022-08-17,13:36:46,158.089996,159.360001, 1.2, 0.8,"10 Health Care Stocks Whale Activity In Today's Session
"
31,2022-08-17,11:13:50,160.289993,159.850006,-0.4,-0.2,"Former PerkinElmer Executive Joins Moderna As Finance Chief
"
32,2022-08-15,13:22:44,175.910004,175.710007,-0.1,-0.1,"UK Becomes First To Give Nod To Omicron-Targeted COVID-19 Shot
"
33,2022-08-15,12:43:32,175.910004,175.710007,-0.1,-0.1,"Is Moderna Preparing To Soar 20% And Tackle This Big Level? What To Watch On The Weekly Chart
"
34,2022-08-15,11:43:32,175.059998,175.910004, 0.8, 0.4,"Why Is Moderna Stock Moving Higher Today?
"
35,2022-08-15,11:34:34,175.059998,175.910004, 0.8, 0.4,"Looking At Moderna's Recent Whale Trades
"
36,2022-08-15,10:44:59,178.229996,175.059998,-3.1,-1.7,"A Look Into Healthcare Sector Value Stocks
"
37,2022-08-09,13:38:06,170.570007,170.050003,-0.5,-0.3,"10 Health Care Stocks With Whale Alerts In Today's Session
"
38,2022-08-08,13:56:10,181.919998,180.934998,-0.9,-0.5,"Lyme Disease And Climate Change Reinvigorates Valneva's Vaccine Efforts After COVID Shot Disappointment
"
39,2022-08-08,12:22:51,186.029999,182.800003,-3.2,-1.7,"Moderna Whale Trades Spotted
"
40,2022-08-05,10:59:55,190.490005,182.865005,-7.6,-4.0,"Looking At Moderna's Recent Whale Trades
"
41,2022-08-03,14:33:40,188.259995,188.270004, 0.0, 0.0,"Nasdaq Surges Over 300 Points; Moderna Earnings Beat Expectations
"
42,2022-08-03,12:59:27,184.970001,187.295807, 2.3, 1.2,"Why Poseida Therapeutics Almost Doubled Today, Here Are 75 Stocks Moving In Wednesday's Mid-Day Session
"
43,2022-08-03,12:14:04,185.059998,184.970001,-0.0,-0.0,"Here's Why Novavax Shares Are Moving
"
44,2022-08-03,12:13:22,185.059998,184.970001,-0.0,-0.0,"Here's Why BioNTech Stock Is Moving
"
45,2022-08-03,10:33:45,183.847305,185.059998, 1.2, 0.6,"Equity Index Futures Rebound Despite Concerns Over OPEC And China
"
46,2022-08-02,10:59:42,164.300003,163.500000,-0.8,-0.4,"U.S. Manufacturing Picture Is Looking Brighter Than Europe's Right Now
"
