,Дата,Время,Цена до,Цена после,Разница в долларах,Дельта в процентах,Текст новости
0,2022-10-20,14:20:03,270.600006,267.571106,-3.0,-1.1,"Are All Streaming Services Losing Money? Netflix Seems To Think So
"
1,2022-10-05,13:12:53,231.360001,233.850006, 2.4, 1.0,"2 NASDAQ earning reports to watch in October
"
2,2022-10-03,13:36:14,238.360001,240.110001, 1.7, 0.7,"10 Communication Services Stocks With Whale Alerts In Today's Session
"
3,2022-10-03,13:33:01,238.360001,240.110001, 1.7, 0.7,"If You Invested $1000 In This Stock 20 Years Ago, You Would Have $640 Thousand Today
"
4,2022-10-03,11:31:58,237.690002,237.660004,-0.0,-0.0,"Netflix Whale Trades Spotted
"
5,2022-09-30,13:36:10,241.429993,240.000000,-1.4,-0.5,"10 Communication Services Stocks With Whale Alerts In Today's Session
"
6,2022-09-29,13:42:39,238.380402,237.272705,-1.1,-0.4,"Roku Reaches Out To Nielsen To Track Viewership As More Consumers Shift To Streaming
"
7,2022-09-29,10:37:04,241.419998,242.918106, 1.4, 0.6,"Lowe's, Accenture And This Streaming Service Company Are CNBC's Final Trades
"
8,2022-09-27,11:55:19,226.600006,222.509995,-4.0,-1.8,"Find Out Why This Bear Thinks The S&P 500 Is Headed To 3,000; What He's Buying During The Downturn
"
9,2022-09-28,13:51:15,241.863907,243.358307, 1.4, 0.6,"Joe Terranova Is Buying This Stock: Wednesday's CNBC 'Fast Money' Final Trades
"
10,2022-09-28,10:42:34,235.360001,239.586304, 4.2, 1.7,"Why Netflix Shares Are Rising
"
11,2022-09-27,12:45:51,222.509995,221.699997,-0.8,-0.3,"Netflix's Next Big Hit May Come From Serious Pedigree: Game Of Thrones
"
12,2022-09-27,11:39:29,226.600006,222.509995,-4.0,-1.8,"Check Out What Whales Are Doing With NFLX
"
13,2022-09-26,15:17:14,223.500000,225.201508, 1.7, 0.7,"Just DON'T Do it! As The Dollar Get Stronger, Nike's Earnings Get Weaker
"
14,2022-09-26,11:14:42,231.429993,227.940002,-3.4,-1.5,"Walmart In The Metaverse? Coming Soon Thanks To This Gaming Company
"
15,2022-09-26,10:43:17,231.429993,227.940002,-3.4,-1.5,"Looking At Netflix's Recent Whale Trades
"
16,2022-09-23,15:29:58,224.369995,225.140106, 0.7, 0.3,"This Is How Netflix Could Lose High-Profile Comics From Releasing Their New Specials With Them
"
17,2022-09-23,13:45:31,228.979996,224.369995,-4.6,-2.0,"8 Communication Services Stocks With Whale Alerts In Today's Session
"
18,2022-09-22,15:09:38,236.145004,238.396896, 2.2, 0.9,"Why Josh Brown Expects Netflix To 'Leapfrog' Disney With Microsoft's Help
"
19,2022-09-21,13:36:28,242.940002,240.799103,-2.1,-0.8,"10 Communication Services Stocks Whale Activity In Today's Session
"
20,2022-09-21,12:52:38,242.800003,242.940002, 0.1, 0.0,"10 Things That Didn't Exist Last Time Interest Rates Were This High
"
21,2022-09-21,11:40:56,242.899994,242.800003,-0.0,-0.0,"Warner Music Appoints YouTube, Netflix Veteran As New CEO
"
22,2022-09-19,12:43:34,236.189896,238.559998, 2.3, 1.0,"What's Going On With Netflix Stock Today?
"
23,2022-09-16,13:23:27,233.639999,237.940002, 4.3, 1.8,"Despite Subscriber Loss, This Bullish Netflix Analyst Says The Streaming Giant Poised To Lead The Pack
"
24,2022-09-16,11:39:31,230.679993,233.639999, 2.9, 1.2,"Here's How Much $1000 Invested In Netflix 20 Years Ago Would Be Worth Today
"
25,2022-09-15,14:58:13,240.139999,234.630005,-5.5,-2.2,"Ad-Supported Plan From Netflix Not Priced Into Stock: 'Can Drive A Material Reacceleration In Revenue Growth'
"
26,2022-09-15,14:48:10,240.139999,234.630005,-5.5,-2.2,"2 Reasons Netflix Might Have Just Bottomed Out
"
27,2022-09-15,10:49:51,233.110001,234.690002, 1.5, 0.6,"Netflix, Humana And Some Other Big Stocks Moving Higher On Thursday
"
28,2022-09-14,15:08:43,221.979996,222.009995, 0.0, 0.0,"Growth stocks: An Overview Into Risk-Heavy Investing
"
