;Дата;Время;Цена до;Цена после;Разница в долларах;Дельта в процентах;Текст новости
0;2022-10-20;13:41:21;123.739998;121.680000;-2.0;-1.6;"10 Information Technology Stocks Whale Activity In Today's Session
"
1;2022-10-06;13:38:02;133.460007;132.240005;-1.2;-0.9;"10 Information Technology Stocks With Whale Alerts In Today's Session
"
2;2022-10-05;14:22:50;130.951996;130.940002;-0.0;-0.0;"YMTC Ban Likely A Plus For Micron & Western Digital, While A Minus For AMD & NVIDIA, Analyst Says
"
3;2022-10-05;14:04:06;130.951996;130.940002;-0.0;-0.0;"Why Shark Tank Investor Kevin O'Leary Plans To Keep Buying Nvidia Stock 'The More It Gets Crushed'
"
4;2022-10-05;13:55:22;130.951996;130.940002;-0.0;-0.0;"10 Information Technology Stocks Whale Activity In Today's Session
"
5;2022-10-05;11:29:06;126.394997;127.934998; 1.5; 1.2;"Check Out What Whales Are Doing With NVDA
"
6;2022-10-04;14:29:11;129.880005;130.279907; 0.3; 0.3;"EXCLUSIVE: Top 10 Stocks Searched On Benzinga Pro In September: Where Do Tesla, Apple, Bed Bath & Beyond Rank?
"
7;2022-10-04;13:36:37;129.880005;130.279907; 0.3; 0.3;"10 Information Technology Stocks With Whale Alerts In Today's Session
"
8;2022-10-04;12:06:03;131.270004;131.223495;-0.0;-0.0;"What's Going On With AMD And Nvidia Shares
"
9;2022-10-03;13:38:15;125.360001;125.660103; 0.3; 0.2;"Over 20% Of The S&P 500 Is Made Up Of 5 Stocks, Let's Talk About Them! Apple, Microsoft, Google, Amazon And Tesla!
"
10;2022-10-03;14:48:51;125.660103;126.410004; 0.7; 0.5;"Hackers Compromise 500GB Of Data In This Education Hack
"
11;2022-10-03;14:34:01;125.660103;126.410004; 0.7; 0.5;"What To Watch For On Nvidia As The Stock Bounces With The Market
"
12;2022-10-03;14:33:02;125.660103;126.410004; 0.7; 0.5;"What's Going On With AMD And Nvidia Shares
"
13;2022-10-03;11:12:25;124.809998;125.790001; 0.9; 0.7;"$100 Invested In This Stock 10 Years Ago Would Be Worth $3,800 Today
"
14;2022-09-30;13:36:01;124.235001;123.199997;-1.0;-0.8;"10 Information Technology Stocks With Whale Alerts In Today's Session
"
15;2022-09-29;13:34:29;120.769997;119.957603;-0.8;-0.6;"NVIDIA Whale Trades For September 29
"
16;2022-09-29;11:24:57;121.360001;121.760002; 0.4; 0.3;"What's Going On With AMD And Nvidia Shares
"
17;2022-09-28;12:36:26;126.320000;126.000000;-0.3;-0.2;"What's Going On With AMD And Nvidia Shares
"
18;2022-09-27;13:38:35;123.349998;123.599998; 0.2; 0.2;"10 Information Technology Stocks Whale Activity In Today's Session
"
19;2022-09-26;14:06:25;122.900002;122.808296;-0.0;-0.0;"10 Information Technology Stocks With Whale Alerts In Today's Session
"
20;2022-09-26;11:37:55;123.589996;122.980003;-0.6;-0.4;"This Is What Whales Are Betting On NVIDIA
"
21;2022-09-23;12:02:33;124.190002;122.860001;-1.3;-1.0;"What's Going On With Nvidia And AMD Shares Getting Hammered This Week
"
22;2022-09-22;14:17:21;125.900002;124.605003;-1.2;-1.0;"Stocks That Hit 52-Week Lows On Thursday
"
23;2022-09-22;11:41:02;125.889999;126.129997; 0.2; 0.1;"Treasury Yield Curve and Dollar Keep Rising, Could Provide More Pressure
"
24;2022-09-21;15:22:07;133.975006;134.889999; 0.9; 0.6;"What's Going On With AMD And Nvidia Shares
"
25;2022-09-21;14:35:55;133.975006;134.889999; 0.9; 0.6;"Nvidia Makes A 'Quantum Leap' At GTC 2022: Ada Lovelace RTX GPUs, Omniverse Cloud, DRIVE Thor Superchip For Autonomous Vehicles
"
26;2022-09-21;14:26:35;135.520004;133.975006;-1.5;-1.1;"Nvidia's Higher Gaming GPU Prices Raises Analyst Conviction. However, Some Remain Concerned Over Demand And China Ban
"
27;2022-09-21;13:36:21;135.520004;133.975006;-1.5;-1.1;"10 Information Technology Stocks Whale Activity In Today's Session
"
28;2022-09-21;13:34:56;135.520004;133.975006;-1.5;-1.1;"Check Out What Whales Are Doing With NVDA
"
29;2022-09-21;10:58:27;134.339996;135.220001; 0.8; 0.6;"Costco To Surge Around 16%? Plus This Analyst Predicts $190 For NVIDIA
"
30;2022-09-21;10:36:35;134.339996;135.220001; 0.8; 0.6;"SoftBank Founder To Discuss Arm Partnership With Samsung
"
31;2022-09-20;15:12:31;131.679993;132.160004; 0.4; 0.3;"Investors Beware: Nvidia Stock Is 'Locked In A Pretty Substantial Downtrend'
"
32;2022-09-20;13:37:30;131.509995;131.679993; 0.1; 0.1;"10 Information Technology Stocks Whale Activity In Today's Session
"
33;2022-09-19;15:11:45;132.460007;133.630005; 1.1; 0.8;"What Should Nvidia Reveal At The GTC Conference? Citi Analyst Lays Down Expectations
"
34;2022-09-19;13:38:42;132.690002;132.460007;-0.2;-0.1;"10 Information Technology Stocks With Whale Alerts In Today's Session
"
35;2022-09-16;14:08:34;129.080002;130.649994; 1.5; 1.2;"Stocks That Hit 52-Week Lows On Friday
"
36;2022-09-16;11:08:56;129.565002;128.529999;-1.0;-0.7;"Here's How Much You Would Have Made Owning NVIDIA Stock In The Last 15 Years
"
37;2022-09-14;13:44:45;131.600006;130.407394;-1.1;-0.9;"10 Information Technology Stocks Whale Activity In Today's Session
"
