;Дата;Время;Цена до;Цена после;Разница в долларах;Дельта в процентах;Текст новости
0;2022-09-29;12:24:05;44.055000 ;44.355000 ; 0.2; 0.6;"Biohaven's ALS Drug Fails To Meet Study Endpoint, Second Therapy To Fail Trials In Recent Months
"
1;2022-09-23;12:02:47;43.880001 ;43.654999 ;-0.2;-0.5;"Pfizer Resumes Dosing In Phase 3 Hemophilia Gene Therapy Trial Six Months After FDA Lifts Clinical Hold
"
2;2022-09-23;10:41:07;44.110001 ;43.880001 ;-0.2;-0.5;"Elon Musk, Jeff Bezos & Richard Branson: Which Billionaire Will Bring The Space Race Ethos To The Cannabis Industry?
"
3;2022-09-22;13:42:15;44.869999 ;44.680000 ;-0.1;-0.4;"10 Health Care Stocks With Whale Alerts In Today's Session
"
4;2022-09-22;10:37:42;44.540001 ;44.689999 ; 0.1; 0.3;"Pfizer To Supply 6M COVID-19 Therapy Courses To Low Income Countries
"
5;2022-09-20;14:45:01;44.549999 ;44.709999 ; 0.1; 0.3;"Analysts Put Alnylam On Upside Catalyst Watch Ahead Of Upcoming Data From Lead Program
"
6;2022-09-20;12:04:31;44.810001 ;44.810001 ; 0.0; 0.0;"Stocks That Hit 52-Week Lows On Tuesday
"
7;2022-09-19;14:25:54;45.165001 ;45.165001 ; 0.0; 0.0;"Pfizer Shares Are Falling: What's Going On?
"
8;2022-09-19;12:30:35;45.060001 ;45.165001 ; 0.1; 0.2;"Stocks That Hit 52-Week Lows On Monday
"
9;2022-09-19;11:46:24;45.264999 ;45.060001 ;-0.2;-0.4;"After US Study, Pfizer's 20-Valent Pneumococcal Jab Aces European Infant Study
"
10;2022-09-16;13:55:57;45.869999 ;46.060001 ; 0.1; 0.4;"Top US Drugmakers Exploit US Patent System To Keep Generic Competition At Bay: Report
"
11;2022-09-14;14:07:41;46.070000 ;46.090000 ; 0.0; 0.0;"US Department Of Health, Defense To Inject $1B To Boost Domestic Biomanufacturing
"
12;2022-09-13;14:36:10;46.665001 ;46.294998 ;-0.3;-0.7;"Biden Administration Pushes 'Cancer Moonshot' Initiative: Report
"
13;2022-09-07;13:58:34;45.866501 ;45.990002 ; 0.1; 0.2;"10 Health Care Stocks With Whale Alerts In Today's Session
"
14;2022-09-07;13:53:33;45.866501 ;45.990002 ; 0.1; 0.2;"Pfizer Whale Trades For September 07
"
