;Дата;Время;Цена до;Цена после;Разница в долларах;Дельта в процентах;Текст новости
0;2022-10-17;14:54:44;149.723206;149.744995; 0.0; 0.0;"This Chipotle Analyst Sees Further Upside In 2023 As The Cost Of Dining In Overtakes Dining Out
"
1;2022-10-17;13:11:21;149.929993;149.509995;-0.4;-0.2;"Target Whale Trades For October 17
"
2;2022-10-14;14:10:00;146.619995;146.059998;-0.5;-0.3;"This Is What Whales Are Betting On Target
"
3;2022-10-14;13:42:51;146.619995;146.059998;-0.5;-0.3;"10 Consumer Discretionary Stocks Whale Activity In Today's Session
"
4;2022-10-11;14:49:32;156.059998;154.279999;-1.7;-1.1;"10 Best Deals Available Now From Amazon, Target And More (And Just In Time for Prime Day Redux)
"
5;2022-10-04;13:36:32;155.889999;155.889999; 0.0; 0.0;"10 Consumer Discretionary Stocks With Whale Alerts In Today's Session
"
6;2022-10-04;11:32:38;158.169998;156.362305;-1.8;-1.1;"Here's How Much You Would Have Made Owning Target Stock In The Last 5 Years
"
7;2022-10-04;11:25:29;156.910004;158.169998; 1.2; 0.8;"As Global Recession Looms, These 3 Dividend Kings Are Primed To Benefit From The Sale Of Necessities
"
8;2022-10-03;15:21:44;152.205002;152.429993; 0.2; 0.1;"Check Out What Whales Are Doing With TGT
"
9;2022-09-30;14:22:59;150.720001;149.410004;-1.3;-0.8;"Abercrombie & Fitch Brand Remains Healthy With More Resilient Customer Base, Says Analyst
"
10;2022-09-28;13:47:23;155.929993;155.860001;-0.0;-0.0;"10 Consumer Discretionary Stocks With Whale Alerts In Today's Session
"
11;2022-09-26;13:19:05;149.050003;147.610001;-1.4;-0.9;"Macy's Ramps Up Hiring For Seasonal Positions Targeting Upcoming Holiday Season
"
12;2022-09-22;11:41:02;153.399994;153.479996; 0.0; 0.0;"Treasury Yield Curve and Dollar Keep Rising, Could Provide More Pressure
"
13;2022-09-22;11:17:20;154.220001;153.399994;-0.8;-0.5;"Target Whale Trades For September 22
"
14;2022-09-21;14:55:46;160.820007;160.860001; 0.0; 0.0;"Wednesday's Market Minute: The Fed is Right to Sink the Stock Market
"
15;2022-09-14;15:17:44;164.619995;163.809998;-0.8;-0.4;"What Are Whales Doing With Target
"
16;2022-09-14;12:15:39;167.139999;166.190002;-0.9;-0.5;"Bed Bath & Beyond Bankruptcy 'Beneficiaries' Gain Analyst Support As Holiday Season Nears
"
17;2022-09-13;13:36:03;169.429993;168.110001;-1.3;-0.7;"10 Consumer Discretionary Stocks Whale Activity In Today's Session
"
18;2022-09-12;13:59:04;174.029999;173.304993;-0.7;-0.4;"10 Consumer Discretionary Stocks With Whale Alerts In Today's Session
"
19;2022-09-08;12:32:44;169.130005;170.320007; 1.1; 0.7;"Target Whale Trades For September 08
"
20;2022-09-08;11:29:59;170.559998;171.710007; 1.1; 0.6;"S&P 500 Points To A Lower Open As Stocks Struggle To Build On Yesterday's Gains
"
21;2022-09-02;14:43:24;164.104996;164.235001; 0.1; 0.0;"Looking At Target's Recent Whale Trades
"
22;2022-08-23;14:10:18;161.854996;162.085007; 0.2; 0.1;"Target, Corteva Among CNBC Fast Money Mentions, And This Stock Popping 2.2% After Being Named
"
23;2022-08-23;10:49:53;161.489807;160.600006;-0.8;-0.5;"Equity Index Futures Trim Overnight Gains As Bulls Try To Charge
"
24;2022-08-22;11:39:45;163.559998;163.199997;-0.3;-0.2;"Target Whale Trades Spotted
"
25;2022-08-18;12:04:20;173.145004;171.759995;-1.3;-0.7;"Affirm Holdings Stock Falls Alongside Retailers: What's Going On?
"
26;2022-08-18;12:00:17;173.145004;171.759995;-1.3;-0.7;"4 Analyst Takeaways From Target Earnings
"
27;2022-08-18;11:32:56;173.145004;171.759995;-1.3;-0.7;"Investors Digest the Fed's No-Surprises July Minutes
"
28;2022-08-16;14:07:12;182.735001;182.630005;-0.1;-0.0;"Looking At Target's Recent Whale Trades
"
29;2022-08-16;11:15:29;178.039993;180.149994; 2.1; 1.1;"The S&P 500 May Be Breaking Away From The Suppression Of A Strong Dollar
"
30;2022-08-15;14:23:37;173.171402;173.302902; 0.1; 0.0;"What Are Whales Doing With Target
"
31;2022-08-15;14:22:36;173.171402;173.302902; 0.1; 0.0;"$100 Invested In This Stock 5 Years Ago Would Be Worth $300 Today
"
32;2022-08-15;12:45:38;173.399994;173.171402;-0.2;-0.1;"Oil Prices Fall In Premarket Action Pulling Chevron, Exxon, And Occidental Downward
"
33;2022-08-12;13:54:52;171.679993;171.460007;-0.2;-0.1;"10 Consumer Discretionary Stocks Whale Activity In Today's Session
"
34;2022-08-11;14:02:34;169.979996;169.160004;-0.8;-0.4;"Target, Lowe's Get CNBC Fast Money Mentions; Here Are The Stocks Steve Weiss Is Buying
"
35;2022-08-10;13:56:33;172.279999;170.839996;-1.4;-0.8;"Target Whale Trades Spotted
"
36;2022-08-10;13:54:15;172.279999;170.839996;-1.4;-0.8;"10 Consumer Discretionary Stocks With Whale Alerts In Today's Session
"
37;2022-08-09;13:05:05;164.490005;164.649994; 0.1; 0.0;"Expert Ratings for Target
"
38;2022-08-08;13:03:31;168.539993;167.399994;-1.1;-0.6;"China Posts Robust Export Growth For July As Its Major Hubs Open: What This Means For The Global Economy
"
39;2022-08-04;13:59:53;166.345001;166.038605;-0.3;-0.1;"Check Out What Whales Are Doing With TGT
"
40;2022-08-02;13:38:19;165.660004;164.960007;-0.6;-0.4;"Target, Meta Get CNBC Fast Money Mentions: What Stephanie Link Is Buying
"
41;2022-08-01;14:06:06;166.160004;165.630005;-0.5;-0.3;"Target Stock Pops On Upgrade, But These Investors Believe Analyst Has Missed The Mark: Here's Why
"
42;2022-08-01;13:49:20;166.160004;165.630005;-0.5;-0.3;"Target And Chevron Get CNBC Fast Money Mentions With Joe Terranova Rebalancing His ETF
"
43;2022-08-01;12:36:25;166.941299;166.160004;-0.7;-0.4;"Target Earns An Upgrade And 26% Price Target Bump By This Analyst
"
44;2022-07-29;13:32:21;162.100006;163.663696; 1.5; 0.9;"Looking At Target's Recent Whale Trades
"
45;2022-07-29;12:06:20;161.803696;161.820007; 0.0; 0.0;"Tigress Financial Maintains Buy Rating for Target: Here's What You Need To Know
"
46;2022-07-27;10:51:21;152.369995;151.990005;-0.3;-0.2;"Natural Gas Volatility Continues As Russia And EU Battle Over Energy
"
47;2022-07-26;14:53:27;150.998993;151.505005; 0.5; 0.3;"Walmart Has Had 1987 Black Monday Flashbacks 11 Times So Far: Here's What Happened Next
"
48;2022-07-26;13:04:25;150.289993;150.740005; 0.4; 0.2;"Jim Cramer Slaps Walmart Around, Sets The Stage For Costco, Target And Amazon: 'This Is Not Forgivable'
"
49;2022-07-26;11:07:17;151.369995;150.089996;-1.2;-0.8;"Consumers Change Shopping Habits as Inflation Worsens
"
50;2022-07-22;14:41:39;157.320007;157.639999; 0.3; 0.2;"What 33 Analyst Ratings Have To Say About Target
"
51;2022-07-22;14:41:02;157.320007;157.639999; 0.3; 0.2;"This Is What Whales Are Betting On Target
"
52;2022-07-20;13:54:09;154.649994;155.445007; 0.7; 0.5;"10 Consumer Discretionary Stocks Whale Activity In Today's Session
"
53;2022-07-19;13:02:52;152.460007;152.419998;-0.0;-0.0;"Here's How Much $1000 Invested In Target 5 Years Ago Would Be Worth Today
"
54;2022-07-18;10:42:26;149.750000;150.970001; 1.2; 0.8;"Bank Of America And Goldman Sachs Split On Earnings Reports, Possibly Putting Bank Rally In Jeopardy
"
