,Дата,Время,Цена до,Цена после,Разница в долларах,Дельта в процентах,Текст новости
0,2022-10-17,14:54:44,131.929993,131.755005,-0.1,-0.1,"This Chipotle Analyst Sees Further Upside In 2023 As The Cost Of Dining In Overtakes Dining Out
"
1,2022-10-14,11:32:56,131.449997,130.380005,-1.0,-0.8,"These 3 REITs Could See Dividend Increases Soon
"
2,2022-10-13,15:02:57,131.479996,132.410995, 0.9, 0.7,"Looking Into Walmart's Recent Short Interest
"
3,2022-10-11,14:49:32,133.619995,132.789993,-0.8,-0.6,"10 Best Deals Available Now From Amazon, Target And More (And Just In Time for Prime Day Redux)
"
4,2022-10-10,15:05:55,129.600006,129.649994, 0.0, 0.0,"These 4 Blue Chip Recession-Proof Stocks Can Hedge Your Portfolio As Global Recession Imminent
"
5,2022-10-07,13:37:46,128.949997,128.929993,-0.0,-0.0,"Walmart Whale Trades Spotted
"
6,2022-10-06,13:25:50,133.210007,132.979996,-0.2,-0.1,"Walmart Acquires Warehouse Automation Firm Alert Innovation
"
7,2022-10-06,12:03:17,133.460007,133.210007,-0.2,-0.1,"Walmart Whale Trades Spotted
"
8,2022-10-05,11:37:24,133.020004,133.229996, 0.2, 0.1,"Where Walmart Stands With Analysts
"
9,2022-10-04,10:36:49,134.460007,134.664703, 0.2, 0.1,"$1000 Invested In This Stock 15 Years Ago Would Be Worth $3,000 Today
"
10,2022-10-03,13:38:15,132.199997,132.669998, 0.4, 0.3,"Over 20% Of The S&P 500 Is Made Up Of 5 Stocks, Let's Talk About Them! Apple, Microsoft, Google, Amazon And Tesla!
"
11,2022-09-30,14:22:59,131.449997,130.699997,-0.7,-0.5,"Abercrombie & Fitch Brand Remains Healthy With More Resilient Customer Base, Says Analyst
"
12,2022-09-30,12:23:10,131.750000,131.330002,-0.4,-0.3,"Oops! One Customer's Drone-Delivered Food Order Crashes, Causing Mass Blackout
"
13,2022-09-27,11:55:19,130.795502,130.630005,-0.1,-0.1,"Find Out Why This Bear Thinks The S&P 500 Is Headed To 3,000; What He's Buying During The Downturn
"
14,2022-09-26,13:19:05,130.320007,130.330002, 0.0, 0.0,"Macy's Ramps Up Hiring For Seasonal Positions Targeting Upcoming Holiday Season
"
15,2022-09-26,11:14:42,131.169998,130.779999,-0.3,-0.2,"Walmart In The Metaverse? Coming Soon Thanks To This Gaming Company
"
16,2022-09-26,10:30:12,131.169998,130.779999,-0.3,-0.2,"Why Roblox Shares Are Rising
"
17,2022-09-23,13:28:10,129.369995,129.339996,-0.0,-0.0,"Desperate Need For Safe Pain Relief Compelled These NFL And NBA Stars To Join The Cannabis Industry
"
18,2022-09-23,12:12:20,130.919998,129.369995,-1.5,-1.1,"Pandemic Favorites Snap, Peloton Swap Executives Amid Slowdown
"
19,2022-09-22,11:42:16,132.949997,133.380005, 0.4, 0.3,"Competition Intensifies For India's Digital Payments Market: Amazon India Poaches WhatsApp Pay India Head
"
20,2022-09-22,11:41:02,132.949997,133.380005, 0.4, 0.3,"Treasury Yield Curve and Dollar Keep Rising, Could Provide More Pressure
"
21,2022-09-21,11:46:33,136.294998,137.139999, 0.8, 0.6,"Digital Superman? Collectibles Will Get A Digital Companion In New Funko, Warner Bros. Tie Up
"
22,2022-09-20,13:56:31,132.830002,133.070007, 0.2, 0.1,"Gap Plans To Eliminate 500 Jobs: WSJ
"
23,2022-09-20,13:17:54,133.320007,132.830002,-0.4,-0.3,"This Is What Whales Are Betting On Walmart
"
24,2022-09-19,13:07:20,132.710007,133.410004, 0.6, 0.5,"$1000 Invested In This Stock 15 Years Ago Would Be Worth $3,000 Today
"
25,2022-09-14,13:43:58,135.130005,134.686798,-0.4,-0.3,"Walmart Whale Trades Spotted
"
26,2022-09-14,12:15:39,135.559998,134.610001,-0.9,-0.7,"Bed Bath & Beyond Bankruptcy 'Beneficiaries' Gain Analyst Support As Holiday Season Nears
"
27,2022-09-13,13:36:37,137.110001,136.210007,-0.8,-0.6,"JPMorgan Chase Seeks To Hire Metaverse, Crypto Expert To Boost Industry Presence
"
28,2022-09-12,11:34:35,137.970001,137.770004,-0.1,-0.1,"Rising Oil Prices Could Threaten Positive Inflation Outlook
"
29,2022-09-08,11:29:59,135.720001,136.264999, 0.5, 0.4,"S&P 500 Points To A Lower Open As Stocks Struggle To Build On Yesterday's Gains
"
30,2022-08-31,13:43:27,132.639999,132.309998,-0.3,-0.2,"Walmart Takes Stake In This Rancher-Owned Beef Company In Nebraska
"
31,2022-08-31,12:37:20,132.613403,132.639999, 0.0, 0.0,"Check Out What Whales Are Doing With WMT
"
32,2022-08-30,13:07:58,132.699997,132.333496,-0.3,-0.2,"Here's How Much You Would Have Made Owning Walmart Stock In The Last 15 Years
"
33,2022-07-13,14:48:23,125.680000,125.690002, 0.0, 0.0,"Software Development Trends That Will Define 2023
"
34,2022-08-23,14:04:23,134.279999,134.190002,-0.0,-0.0,"Buying Russian Stocks In The U.S. Is Still Impossible вЂ” Here's Wh
"
35,2022-08-23,10:49:53,133.669998,133.520004,-0.1,-0.1,"Equity Index Futures Trim Overnight Gains As Bulls Try To Charge
"
36,2022-08-22,12:49:44,135.660004,134.750000,-0.9,-0.6,"Have The Walmart Heirs Been Selling Their Shares? Here's How Much They Still Own
"
37,2022-08-22,11:12:11,135.500000,135.300003,-0.1,-0.1,"Equities Retreat As Yields And The Dollar Advance
"
38,2022-08-22,11:03:14,135.500000,135.300003,-0.1,-0.1,"GigaCloud Joins Wall Street Parade of China Meme Stocks
"
39,2022-08-18,12:56:10,138.645004,138.589996,-0.0,-0.0,"Neptune Wellness Solutions Stock Spikes 125% On Walmart Update: What's Going On?
"
40,2022-08-16,14:51:46,140.600006,139.250000,-1.3,-0.9,"Nasdaq Falls 75 Points; Ventyx Biosciences Shares Spike Higher
"
41,2022-08-16,12:10:56,139.679993,140.279999, 0.6, 0.4,"Dow Jumps Over 200 Points; Crude Oil Falls Sharply
"
42,2022-08-16,12:54:04,140.279999,140.429993, 0.1, 0.1,"Why GreenBox POS Is Trading Higher By Around 72%, Here Are 70 Stocks Moving In Tuesday's Mid-Day Session
"
43,2022-08-16,12:29:00,139.679993,140.279999, 0.6, 0.4,"If You Invested $1,000 In Walmart Stock At Its IPO, Here's How Much You'd Have Now
"
44,2022-08-16,11:49:27,139.679993,140.279999, 0.6, 0.4,"Walmart Surges Following Q2 Earnings Beat: Here's What To Watch On The Stock
"
45,2022-08-16,11:15:29,139.979996,139.679993,-0.3,-0.2,"The S&P 500 May Be Breaking Away From The Suppression Of A Strong Dollar
"
46,2022-08-16,10:32:24,139.979996,139.679993,-0.3,-0.2,"U.S. Stocks Trade Mixed; Dow Rises 75 Points
"
47,2022-08-15,12:45:38,132.804993,132.720001,-0.0,-0.0,"Oil Prices Fall In Premarket Action Pulling Chevron, Exxon, And Occidental Downward
"
48,2022-08-08,13:03:31,127.620003,127.370003,-0.2,-0.1,"China Posts Robust Export Growth For July As Its Major Hubs Open: What This Means For The Global Economy
"
49,2022-08-04,15:17:27,126.419998,125.955002,-0.4,-0.3,"Walmart Gets Smoked After Layoff Announcement: What's Next For The Retail Stock?
"
50,2022-08-04,13:41:12,127.129997,126.419998,-0.7,-0.5,"Why Walmart Stock Is Sliding Today
"
51,2022-08-04,11:21:15,129.320007,127.697502,-1.6,-1.2,"What Are Whales Doing With Walmart
"
52,2022-08-04,11:20:04,129.320007,127.697502,-1.6,-1.2,"A Flurry Of Employment News Drops Ahead Of Friday's Jobs Report
"
53,2022-08-01,12:49:08,132.869995,132.899994, 0.0, 0.0,"What Are Whales Doing With Walmart
"
54,2022-07-29,12:24:36,130.479996,131.042892, 0.5, 0.4,"America's Least Philanthropic Billionaires: Scrooges Of The Forbes 400
"
55,2022-07-28,11:10:58,127.269997,128.949997, 1.6, 1.3,"A Lot Of Smart People And Jim Cramer Read Inflation Situation Wrong, Comedian John Oliver Says
"
56,2022-07-27,10:54:23,123.720001,124.580002, 0.8, 0.6,"Consumer Spending Slowdown? Not So Fast, Visa Execs Say -- This Industry Is Winning
"
57,2022-07-27,10:51:21,123.720001,124.580002, 0.8, 0.6,"Natural Gas Volatility Continues As Russia And EU Battle Over Energy
"
58,2022-07-26,13:13:24,121.879997,122.459999, 0.5, 0.4,"Why Is Ayala Pharmaceuticals Trading Higher By Around 130%? 45 Stocks Moving In Tuesday's Mid-Day Session
"
59,2022-07-26,14:54:07,121.355003,121.849998, 0.4, 0.4,"Norwegian Cruise Line Stock Is Diving: What's Going On?
"
60,2022-07-26,14:53:27,121.355003,121.849998, 0.4, 0.4,"Walmart Has Had 1987 Black Monday Flashbacks 11 Times So Far: Here's What Happened Next
"
61,2022-07-26,14:51:11,121.355003,121.849998, 0.4, 0.4,"Royal Caribbean Group Shares Are Moving Lower: What's Happening?
"
62,2022-07-26,14:45:41,121.355003,121.849998, 0.4, 0.4,"Why Nordstrom Shares Are Falling After Walmart's Earnings Report
"
63,2022-07-26,14:40:27,121.355003,121.849998, 0.4, 0.4,"Walmart Whale Trades For July 26
"
64,2022-07-26,14:18:25,122.459999,121.355003,-1.1,-0.9,"Here's Why Affirm Stock Is Falling Alongside Walmart And Shopify Today
"
65,2022-07-26,13:11:26,121.879997,122.459999, 0.5, 0.4,"BZ Chart Of The Day: Is It Time To Buy Walmart?
"
