;Дата;Время;Цена до;Цена после;Разница в долларах;Дельта в процентах;Текст новости
0;2022-10-07;13:57:47; 96.959999; 96.724998;-0.2;-0.2;"Disney Is a Living Proof of a Never-Ending Corporate Fairytale
"
1;2022-10-07;12:33:30; 96.989998; 96.959999;-0.0;-0.0;"Walt Disney Whale Trades Spotted
"
2;2022-10-03;13:38:15; 96.510002; 97.150002; 0.6; 0.6;"Over 20% Of The S&P 500 Is Made Up Of 5 Stocks, Let's Talk About Them! Apple, Microsoft, Google, Amazon And Tesla!
"
3;2022-10-03;12:11:36; 95.995003; 95.820000;-0.1;-0.1;"Is Putin Darth Vader? Luke Skywalker Helps Ukraine Use The Force Against 'The Evil Empire'
"
4;2022-10-03;14:16:41; 96.510002; 97.150002; 0.6; 0.6;"$10 Bet Could Be Worth $74,000 If This NFL Team Wins Monday Night Football
"
5;2022-10-03;12:32:40; 95.820000; 96.510002; 0.6; 0.7;"What Are Whales Doing With Walt Disney
"
6;2022-10-03;12:03:40; 95.995003; 95.820000;-0.1;-0.1;"$100 Invested In This Stock 15 Years Ago Would Be Worth $300 Today
"
7;2022-09-30;13:38:23; 96.650002; 95.849998;-0.8;-0.8;"Disney Analyst Slashes Profit Estimates To Factor In Content Sales Licensing Guidance, DTC Losses
"
8;2022-09-30;13:36:10; 96.650002; 95.849998;-0.8;-0.8;"10 Communication Services Stocks With Whale Alerts In Today's Session
"
9;2022-09-30;11:06:53; 96.110001; 97.264999; 1.1; 1.2;"Where Walt Disney Stands With Analysts
"
10;2022-09-27;11:55:19; 97.620003; 96.639999;-0.9;-1.0;"Find Out Why This Bear Thinks The S&P 500 Is Headed To 3,000; What He's Buying During The Downturn
"
11;2022-09-28;13:14:54; 98.669998; 99.029999; 0.3; 0.3;"Rising Volatility, Yields, Keep Pressure Churning On Wall Street
"
12;2022-09-28;12:18:22; 98.269997; 98.669998; 0.4; 0.4;"Can Hugh Jackman's Return As Wolverine In Deadpool 3 Break These Box Office Records?
"
13;2022-09-27;15:05:57; 95.750099; 95.919998; 0.1; 0.1;"What's Going On With Disney Stock Today
"
14;2022-09-27;13:43:14; 96.114998; 95.750099;-0.3;-0.3;"Russia Boycotts Oscars: A Look Back At Previous Wins, Incuding One For An Anti-War Film
"
15;2022-09-26;10:44:23;100.250000; 98.870003;-1.3;-1.3;"Walt Disney Whale Trades Spotted
"
16;2022-09-23;12:39:28; 99.059998; 99.400002; 0.3; 0.3;"Jeff Bezos, Others Looking at Suns and Mercury
"
17;2022-09-22;15:09:38;102.209999;102.489998; 0.2; 0.2;"Why Josh Brown Expects Netflix To 'Leapfrog' Disney With Microsoft's Help
"
18;2022-09-22;11:41:02;102.720001;102.639999;-0.0;-0.0;"Treasury Yield Curve and Dollar Keep Rising, Could Provide More Pressure
"
19;2022-09-20;10:57:39;107.889999;107.889999; 0.0; 0.0;"Amazon Scores During Thursday Night Football: What NFL Rights Deal Means For Prime
"
20;2022-09-19;12:09:41;107.959999;107.870003;-0.0;-0.0;"Walt Disney Whale Trades For September 19
"
21;2022-09-16;15:08:10;107.699997;108.070000; 0.3; 0.3;"NFL Posts Huge Ratings For Week 1: Here Are The Companies And Stocks That Could Benefit From A Strong Season
"
22;2022-09-16;13:23:27;107.180000;107.610001; 0.4; 0.4;"Despite Subscriber Loss, This Bullish Netflix Analyst Says The Streaming Giant Poised To Lead The Pack
"
23;2022-09-16;13:01:01;107.180000;107.610001; 0.4; 0.4;"$1000 Invested In This Stock 15 Years Ago Would Be Worth $3,100 Today
"
24;2022-09-15;14:48:10;112.010002;110.839996;-1.1;-1.0;"2 Reasons Netflix Might Have Just Bottomed Out
"
25;2022-09-15;13:57:24;112.910004;112.010002;-0.9;-0.7;"Disney's ESPN, DraftKings And Others Get An Apple App Store Boost From NFL Opening Weekend
"
26;2022-09-14;14:58:25;112.059998;111.785004;-0.2;-0.2;"Apple Spent Billions To Get Soccer, But You Can't Pay Them To Take This Content
"
27;2022-09-14;12:35:32;111.669998;112.144997; 0.4; 0.4;"Looking At Walt Disney's Recent Whale Trades
"
28;2022-09-13;14:44:21;113.269997;112.074997;-1.1;-1.0;"Warner Bros Discovery Relinquishes Remaining Stake In Joyn Streaming Service
"
29;2022-09-12;11:01:37;116.290001;116.110001;-0.1;-0.1;"AMC Entertainment Stock Is Rising: What's Going On?
"
30;2022-09-12;11:01:06;116.290001;116.110001;-0.1;-0.1;"Companies Froze Dividends In Covid-Stricken 2020: A Few Didn't Bring Them Back. Here's When They Might.
"
